,Date,Text
0,9/14/2019 23:02,"Want to join the #tech industry? After joining Sabio, David not only got a great job but also accepted into… https://t.co/HtRFuWf7zi"
1,9/14/2019 23:00,"Investing in the future ..

IBM To Create CBSE’s New AI Curriculum, Microsoft To Train Teachers… https://t.co/6JLISnuhxQ"
2,9/14/2019 22:59,"#NPR is bring bribed by #billgates 
No longer it became a #microsoft megaphone
#corruption #corporatemedia (which i… https://t.co/SY6lINoSJU"
3,9/14/2019 22:59,"Sur les 112 millions de joueurs mensuels actifs de #Minecraft actuels, 91 millions ont rejoins ce chiffre uniquemen… https://t.co/MmTEvB2Zdf"
4,9/14/2019 22:59,"Configuration details for Microsoft Surface Pro 7 leak out - https://t.co/TnFrNrdD2h 
https://t.co/G2w8BMhoUG… https://t.co/hkWIRYTuFX"
5,9/14/2019 22:58,"@XboxSupport ETA on fix for Xbox store. Can’t buy or pre order anything.
#xbox #Microsoft #CallofDutyModernWarfare"
6,9/14/2019 22:57,"Les ""Concepts"" et les ""Range"" de C++20 débarquent sur Visual Studio 2019 16.3. 

https://t.co/1gDDKlkd6l

#msft… https://t.co/a6ReuzMqWu"
7,9/14/2019 22:56,Leak of Microsoft Salaries Shows Fight for Higher Compensation https://t.co/n8vERTzqdP #Microsoft #Jobs #Salary… https://t.co/IC5seMwNEn
8,9/14/2019 22:55,"RT @Altcoinbuzzio: On 21st Feb, at the time of the tweet $BTC was $3,950

Now #Samsung and #HTC have crypto phones launched,  #facebook is…"
9,9/14/2019 22:55,RT @kubernan: Microsoft's Surface Laptop 3 may come in a 15-inch model https://t.co/vBIphLeDSJ #Microsoft
10,9/14/2019 22:54,"RT @Altcoinbuzzio: On 21st Feb, at the time of the tweet $BTC was $3,950

Now #Samsung and #HTC have crypto phones launched,  #facebook is…"
11,9/14/2019 22:53,RT @kubernan: Microsoft's Surface Laptop 3 may come in a 15-inch model https://t.co/vBIphLeDSJ #Microsoft
12,9/14/2019 22:52,"Secure Everything with #Azure Sphere Contest with Hackster, Microsoft, and Avnet
 #Hackster #IIoT #Microsoft… https://t.co/VWTMK1VPPD"
13,9/14/2019 22:52,RT @kubernan: Microsoft's Surface Laptop 3 may come in a 15-inch model https://t.co/vBIphLeDSJ #Microsoft
14,9/14/2019 22:51,So happy for I still have my #Microsoft Certification. I will review what I need to do better. #MCSA #MCP  https://t.co/t6yrHtBmdn
15,9/14/2019 22:48,Noted MIT Computer Scientist Defends Jeffrey Epstein https://t.co/WjI6MHxC5y so his visit to #microsoft will no lon… https://t.co/FWChnjEypX
16,9/14/2019 22:47,RT @kubernan: Microsoft's Surface Laptop 3 may come in a 15-inch model https://t.co/vBIphLeDSJ #Microsoft
17,9/14/2019 22:46,RT @kubernan: Microsoft's Surface Laptop 3 may come in a 15-inch model https://t.co/vBIphLeDSJ #Microsoft
18,9/14/2019 22:41,RT @kubernan: Microsoft's Surface Laptop 3 may come in a 15-inch model https://t.co/vBIphLeDSJ #Microsoft
19,9/14/2019 22:39,【過去記事】 #Windows 10から拡張子強制表示になってるよね？ https://t.co/jwi6BDJBcv #microsoft #os #windows10 #マイクロソフト #強制表示 #拡張子
20,9/14/2019 22:36,RT @schestowitz: #Microsoft Targets #GNU / #Linux Advocates With Phony Charm Offensives and Fake 'Love' https://t.co/ZmO4gEolUE #techrights…
21,9/14/2019 22:35,RT @sigmaridge: Why the future of AI needs ethical human judgement https://t.co/mhNCmTD0iv For more info: https://t.co/dR9LJGSo7k #data #se…
22,9/14/2019 22:35,Juvare (@juvarecorp) is hiring https://t.co/W144lDUeq0 #microsoft #stack
23,9/14/2019 22:34,RT @sigmaridge: Why the future of AI needs ethical human judgement https://t.co/mhNCmTD0iv For more info: https://t.co/dR9LJGSo7k #data #se…
